"","Depth","Age","minSCD"
"1",1,-35,0.131409116
"2",5,88,0.074453248
"3",13,412,0.054784525
"4",21,712,0.114416608
"5",29,1022,0.078890019
"6",37,1313,0.09679001
"7",45,1618,0.122615571
"8",53,1872,0.110810852
"9",61,2149,0.08244889
"10",69,2490,0.105697237
"11",77,2880,0.10450398
"12",85,3326,0.046968588
"13",97,3945,0.07029349
"14",105,4333,0.119477325
"15",113,4744,0.138796268
"16",121,5158,0.126109216
"17",129,5582,0.143791846
"18",137,5917,0.158848204
"19",145,6259,0.11607263
"20",153,6591,0.121470391
"21",161,6939,0.133640699
"22",169,7310,0.139113551
"23",177,7662,0.123667878
"24",185,7933,0.128376184
"25",197,8144,0.128026227
"26",205,8282,0.102190999
"27",213,8424,0.114828198
"28",221,8564,0.134994625
"29",229,8705,0.114888254
"30",237,8846,0.082749627
"31",245,9097,0.121723901
"32",253,9721,0.124891312
"93",179,9986,0.419071292
"94",181,10010,0.386142958
"95",183,10035,0.288013499
"96",186,10068,0.24508357
"97",188,10087,0.309342504
"98",190,10107,0.363337682
"99",193,10158,0.337730566
"33",259,10167,0.138062989
"100",195,10189,0.304250067
"101",198,10212,0.422832172
"102",200,10229,0.340527677
"103",202,10258,0.35200599
"104",205,10297,0.356742344
"34",261,10305,0.125228163
"105",207,10320,0.28614889
"106",209,10341,0.339097219
"107",212,10372,0.413259056
"35",263,10445,0.196199043
"36",265,10573,0.2092121
"37",267,10729,0.238760413
"38",269,10872,0.222105596
"39",271,11015,0.176086697
"40",273,11173,0.193163658
"41",275,11314,0.17970246
"42",277,11455,0.137574397
"43",279,11611,0.197800856
"44",281,11759,0.214156413
"45",284,12014,0.183902908
"108",214,12150,0.34515361
"46",286,12157,0.225218345
"47",288,12308,0.221446177
"48",289,12380,0.219694858
"109",217,12446,0.396354748
"49",291,12521,0.205549439
"110",219,12544,0.362759408
"50",293,12673,0.194707761
"111",221,12721,0.27532449
"51",295,12836,0.194459945
"52",297,12974,0.180128719
"112",224,13017,0.383406699
"113",226,13110,0.431686429
"53",299,13130,0.205125606
"114",228,13154,0.270705755
"115",231,13252,0.277364812
"54",301,13272,0.157934083
"116",233,13333,0.447549302
"55",303,13415,0.16030232
"117",236,13472,0.462762214
"56",305,13552,0.178591655
"118",238,13590,0.462991447
"57",307,13695,0.233726837
"119",241,13741,0.531457614
"58",309,13834,0.246557118
"120",243,13841,0.295128817
"59",311,13982,0.240355658
"121",246,13982,0.351001539
"122",248,14073,0.377418616
"60",313,14140,0.28800345
"123",251,14208,0.490334982
"61",315,14289,0.316133645
"124",253,14299,0.435132601
"62",317,14438,0.28031918
"125",256,14465,0.374638695
"126",258,14568,0.386041858
"63",319,14591,0.250032852
"127",261,14718,0.352595508
"64",321,14750,0.265188839
"65",323,14928,0.212859272
"66",325,15103,0.253088175
"67",329,15409,0.174431248
"68",337,15986,0.223194346
"69",345,16602,0.155494843
"70",353,17159,0.126185947
"71",361,17660,0.140392448
"72",369,18200,0.129771874
"73",377,18724,0.122895724
"74",386,19315,0.140469662
"75",397,19987,0.098989764
"76",405,20559,0.046792417
"77",413,21141,0.07451002
"78",421,21700,0.039377999
"79",429,22262,0.053400545
"80",437,22913,0.054057408
"81",445,23770,0.052716601
"82",453,24219,0.052008622
"83",461,24686,0.036127211
"84",469,25197,0.046482067
"85",477,25697,0.04373237
"86",486,26232,0.073098215
"87",497,26986,0.093948962
"88",505,27613,0.08015083
"89",514,28301,0.065638742
"90",522,28973,0.055480708
"91",530,29649,0.059969287
"92",539,30394,0.1051748
