"Depth","Age","minSCD"
179,9986,0.419071292
181,10010,0.386142958
183,10035,0.288013499
186,10068,0.24508357
188,10087,0.309342504
190,10107,0.363337682
193,10158,0.337730566
195,10189,0.304250067
198,10212,0.422832172
200,10229,0.340527677
202,10258,0.35200599
205,10297,0.356742344
207,10320,0.28614889
209,10341,0.339097219
212,10372,0.413259056
214,12150,0.34515361
217,12446,0.396354748
219,12544,0.362759408
221,12721,0.27532449
224,13017,0.383406699
226,13110,0.431686429
228,13154,0.270705755
231,13252,0.277364812
233,13333,0.447549302
236,13472,0.462762214
238,13590,0.462991447
241,13741,0.531457614
243,13841,0.295128817
246,13982,0.351001539
248,14073,0.377418616
251,14208,0.490334982
253,14299,0.435132601
256,14465,0.374638695
258,14568,0.386041858
261,14718,0.352595508
